game_id,date,season,market_home_prob,neutral
290040282.0,2009-01-04,2009,0.4202,0
290040269.0,2009-01-04,2009,0.825,0
290042483.0,2009-01-04,2009,0.1708,0
290040204.0,2009-01-04,2009,0.1566,0
290040314.0,2009-01-04,2009,0.5746,0
290042464.0,2009-01-04,2009,0.4826,0
290042520.0,2009-01-04,2009,0.7697,0
290052244.0,2009-01-05,2009,0.8929,0
290082643.0,2009-01-08,2009,0.4826,0
290082535.0,2009-01-08,2009,0.7857,0
290100269.0,2009-01-10,2009,0.5217,0
290100228.0,2009-01-10,2009,0.8579,0
290100222.0,2009-01-10,2009,0.5325,0
290100239.0,2009-01-10,2009,0.8898,0
290100189.0,2009-01-10,2009,0.6115,0
290100305.0,2009-01-10,2009,0.7147,0
290100052.0,2009-01-10,2009,0.1935,0
290102086.0,2009-01-10,2009,0.9377,0
290100009.0,2009-01-10,2009,0.9221,0
290102244.0,2009-01-10,2009,0.6841,0
290102348.0,2009-01-10,2009,0.331,0
290102655.0,2009-01-10,2009,0.7195,0
290100276.0,2009-01-10,2009,0.7831,0
290100111.0,2009-01-10,2009,0.9007,0
290100036.0,2009-01-10,2009,0.1734,0
290102247.0,2009-01-10,2009,0.4675,0
290100179.0,2009-01-10,2009,0.4892,0
290100259.0,2009-01-10,2009,0.7396,0
290100193.0,2009-01-10,2009,0.7328,0
290102199.0,2009-01-10,2009,0.5427,0
290102628.0,2009-01-10,2009,0.3813,0
290102429.0,2009-01-10,2009,0.5963,0
290100093.0,2009-01-10,2009,0.6889,0
290102535.0,2009-01-10,2009,0.5427,0
290102413.0,2009-01-10,2009,0.6115,0
290112509.0,2009-01-11,2009,0.6935,0
290110195.0,2009-01-11,2009,0.562,0
290112172.0,2009-01-11,2009,0.825,0
290112117.0,2009-01-11,2009,0.4675,0
290112520.0,2009-01-11,2009,0.6301,0
290112217.0,2009-01-11,2009,0.8898,0
290112368.0,2009-01-11,2009,0.2212,0
290172275.0,2009-01-17,2009,0.3721,0
290172181.0,2009-01-17,2009,0.7147,0
290170152.0,2009-01-17,2009,0.6345,0
290170277.0,2009-01-17,2009,0.9373,0
290170048.0,2009-01-17,2009,0.5963,0
290170239.0,2009-01-17,2009,0.6636,0
290172483.0,2009-01-17,2009,0.4783,0
290172244.0,2009-01-17,2009,0.7901,0
290170305.0,2009-01-17,2009,0.4783,0
290172005.0,2009-01-17,2009,0.4474,0
290170228.0,2009-01-17,2009,0.5711,0
290170026.0,2009-01-17,2009,0.7066,0
290172350.0,2009-01-17,2009,0.7286,0
290172247.0,2009-01-17,2009,0.6507,0
290170259.0,2009-01-17,2009,0.6115,0
290172724.0,2009-01-17,2009,0.3571,0
290172084.0,2009-01-17,2009,0.6507,0
290172433.0,2009-01-17,2009,0.4474,0
290172117.0,2009-01-17,2009,0.5882,0
290172309.0,2009-01-17,2009,0.5963,0
290172099.0,2009-01-17,2009,0.4474,0
290172535.0,2009-01-17,2009,0.5325,0
290170290.0,2009-01-17,2009,0.1279,0
290170315.0,2009-01-17,2009,0.8329,0
